new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22664-2,2023-01-11 23:00:00,0,23532.72,-22688.289999999994,0,0.0,999,-2539.6000000000013
22664-1,2021-10-17 22:00:00,0,8559.279999999999,-6084.9400000000005,0,0.0,999,-6303.97
22672-1,2022-11-29 23:00:00,0,11281.79,-8070.81,0,0.0,999,-11625.54
22674-1,2022-11-29 23:00:00,0,35657.04,-21771.2,0,0.0,999,68104.18000000001
22700-1,2022-12-06 23:00:00,0,7688.219999999999,-9883.51,0,0.0,999,1714.1799999999967
22701-1,2022-12-11 23:00:00,0,50862.16,-42912.26,0,0.0,999,-70821.23999999999
22721-3,2023-08-07 22:00:00,0,510.0,-45.1,0,0.0,999,-1819.3100000000002
22721-2,2022-05-04 22:00:00,0,1170.0,-976.1800000000001,0,0.0,999,-4178.64
22721-1,2021-02-10 23:00:00,0,1670.0,-1938.22,0,0.0,999,-6822.700000000001
22757-1,2022-12-07 23:00:00,0,2518.74,-2157.89,0,0.0,999,-1999.7699999999993
22758-4,2024-02-15 23:00:00,0,341.11,-234.77,0,0.0,999,21.84999999999991
22758-3,2022-10-26 22:00:00,0,50.0,-50.0,0,0.0,999,-175.6199999999999
22758-2,2021-08-26 22:00:00,0,200.0,-200.0,0,0.0,999,-105.61999999999978
22758-1,2020-04-27 22:00:00,0,70.0,-70.0,0,0.0,999,-105.62000000000023
22759-4,2024-03-03 23:00:00,0,31243.96,-31244.610000000004,0,0.0,999,-745.4700000000014
22759-3,2022-12-07 23:00:00,0,14089.239999999998,-13661.85,0,0.0,999,-3610.010000000002
22759-2,2021-09-09 22:00:00,0,15399.66,-14203.820000000002,0,0.0,999,-5441.140000000001
22759-1,2020-06-15 22:00:00,0,6632.49,-9230.759999999998,0,0.0,999,-7894.660000000007
22765-4,2024-02-22 23:00:00,0,1019.86,-980.99,0,0.0,999,-186.01000000000002
22765-3,2022-11-28 23:00:00,0,150.0,-150.0,0,0.0,999,-362.09000000000003
22765-2,2021-08-26 22:00:00,0,150.0,-150.0,0,0.0,999,-292.0900000000002
22765-1,2020-06-07 22:00:00,0,370.0,-370.0,0,0.0,999,707.9099999999994
22767-1,2022-12-08 23:00:00,0,2461.75,-884.0200000000002,0,0.0,999,-988.5799999999986
22781-1,2022-12-12 23:00:00,0,13550.0,-10791.27,0,0.0,999,-8855.54
22782-1,2022-12-12 23:00:00,0,54486.810000000005,-64927.50000000001,0,0.0,999,-8540.339999999993
22784-1,2022-12-11 23:00:00,0,23998.65,-14383.95,0,0.0,999,-15093.960000000003
